Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Kharif     ,Assam,31318,1287451,2051.4,2980534.06,9708.58,41.89695652
Whole Year ,Karnataka,308857,28999269,1266.7,29393920.69,95745.67,91.74736842
Whole Year ,Meghalaya,82,225,3818.2,7803.94,25.42,2.352
Whole Year ,West Bengal,25797,1818700,1852.9,2455100.49,7997.07,67.83625
Kharif     ,Puducherry,2710,232369,1434.5875,267748,785.9,82.595
Whole Year ,Assam,30571,1223578,2354.4,3020414.8,8865.59,39.89304348
Whole Year ,Goa,1320,64000,2964.9,130416,382.8,48.48
Whole Year ,Kerala,6160,472160,3151.5,608608,1786.4,64.83
Whole Year ,Meghalaya,83,225,6552.7,8200.4,24.07,2.328
Whole Year ,West Bengal,26949,2001900,2152.5,2662561.2,7815.21,75.314375
Whole Year ,Assam,29107,1154615,2201.8,3089125.91,7858.89,40.43478261
Whole Year ,Goa,1335,68440,3879.3,141683.55,360.45,51.27
Whole Year ,Kerala,5780,578820,2914.6,613431.4,1560.6,88.2225
Whole Year ,Meghalaya,80,223,6200.3,8490.4,21.6,2.372
Whole Year ,Puducherry,2798,237610,1434.5875,296951.74,755.46,83
Whole Year ,West Bengal,22883,1762806,2318.1,2428572.79,6178.41,78.571875
Whole Year ,Andhra Pradesh,237150,17690131,935.6,23281015.5,61659,73.8955
Whole Year ,Assam,26768,987696,1965.5,2627814.56,6959.68,36.57217391
Whole Year ,Goa,1250,72750,3886.9,122712.5,325,58.2
Whole Year ,Karnataka,417141,42923496,1213.3,40950731.97,108456.66,98.80038462
Whole Year ,Kerala,3367,275550,2412.6,330538.39,875.42,90.19
Whole Year ,Meghalaya,86,237,6258.8,8442.62,22.36,2.288
Whole Year ,Puducherry,2464,200413,1434.5875,241890.88,640.64,81.17
Whole Year ,West Bengal,21609,1465550,1907.7,2121355.53,5618.34,67.08461538
Whole Year ,Andhra Pradesh,218298,18081889,928.4,22294774.74,56757.48,84.989
Whole Year ,Assam,27166,1011398,1824.7,2774463.58,7063.16,37.2173913
Whole Year ,Goa,1205,70565,2530.6,123066.65,313.3,58.56
Whole Year ,Karnataka,406950,33016618,1002.9,41561803.5,105807,84.00269231
Whole Year ,Kerala,3267,269780,2946.7,333658.71,849.42,88.77583333
Whole Year ,Meghalaya,83,226,4241,8476.79,21.58,2.278
