Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rabi       ,Assam,84698,110054,2051.4,8060708.66,26256.38,1.25952381
Rabi       ,Karnataka,250698,118512,1266.7,23858928.66,77716.38,0.548333333
Rabi       ,Meghalaya,4287,6894,3818.2,407993.79,1328.97,1.385
Rabi       ,West Bengal,367374,810480,1852.9,34962983.58,113885.94,1.886666667
Rabi       ,Assam,89591,90509,2354.4,8851590.8,25981.39,0.999545455
Rabi       ,Karnataka,268981,219433,1260.8,26575322.8,78004.49,0.848823529
Rabi       ,Meghalaya,4287,6998,6552.7,423555.6,1243.23,1.605
Rabi       ,West Bengal,367472,778090,2152.5,36306233.6,106566.88,1.870555556
Rabi       ,Assam,76310,97583,2201.8,8098780.3,20603.7,1.256818182
Rabi       ,West Bengal,364155,850778,2318.1,38647770.15,98321.85,2.096666667
Rabi       ,Andhra Pradesh,14261,8121,935.6,1400002.37,3707.86,0.581818182
Rabi       ,Assam,70301,85695,1965.5,6901449.17,18278.26,1.175909091
Rabi       ,Karnataka,266310,249880,1213.3,26143652.7,69240.6,0.93375
Rabi       ,Meghalaya,4215,6892,6258.8,413786.55,1095.9,1.395
Rabi       ,West Bengal,426000,1057610,1907.7,41820420,110760,2.330555556
Rabi       ,Andhra Pradesh,13793,9486,928.4,1408679.09,3586.18,0.6275
Rabi       ,Assam,72245,85300,1824.7,7378381.85,18783.7,1.185217391
Rabi       ,Karnataka,260486,198822,1002.9,26603435.18,67726.36,0.777333333
Rabi       ,Meghalaya,2753,4812,4241,281163.89,715.78,1.455
Rabi       ,West Bengal,434004,961533,1556.6,44324828.52,112841.04,2.109444444
Rabi       ,Andhra Pradesh,11044,14898,648.1,1045535.48,2761,1.09
Rabi       ,Assam,69061,77952,1973.6,6538004.87,17265.25,1.152272727
Rabi       ,West Bengal,405350,887437,1629.1,38374484.5,101337.5,1.992777778
Rabi       ,Andhra Pradesh,11928,6741,826,1180633.44,2862.72,0.481818182
Rabi       ,Assam,69954,73186,2213.7,6924046.92,16788.96,1.040909091
Rabi       ,Karnataka,231994,96150,867.6,22962766.12,55678.56,0.516428571
Rabi       ,Meghalaya,862,1540,3321.3,85320.76,206.88,1.49
Rabi       ,West Bengal,425721,985686,1526.7,42137864.58,102173.04,2.194444444
Rabi       ,Karnataka,241991,206296,1117.7,26217304.94,50818.11,0.845333333
Rabi       ,Meghalaya,863,1564,4767.9,93497.42,181.23,1.156666667
Rabi       ,Andhra Pradesh,11109,8891,1075.5,1332191.28,2332.89,0.774
Rabi       ,Assam,49961,53735,2184.6,5991323.12,10491.81,1.084230769
